"","G","rho","var_entry_day","var_RLS","PopSize","assortative","iter","var_env_entry","var_env_RLS","OMEGA","Nc","meanK","varK","S","Ne","Ne_N","Nm","Nf","sex_ratio","mean_entry_day","sd_entry_day","mean_RLS","sd_RLS","Nb","breeders","sim"
"1",0,-0.3,10,20,"variable",FALSE,1,20,1,2,500,1.036,1.02475350701403,259,503.343767375751,1.0066875347515,250,250,1,10.118,2.95864549521105,6.536,4.05333974966971,503.343767375751,319,"AM"
"2",1,-0.3,10,20,"variable",FALSE,1,20,1,2,259,2.19305019305019,2.02460267576547,284,267.455424193774,1.03264642545859,138,121,1.1404958677686,10.030888030888,3.99891113849956,7.29343629343629,4.6379371089677,267.455424193774,233,"AM"
"3",2,-0.3,10,20,"variable",FALSE,1,20,1,2,284,0.640845070422535,0.619668541283034,91,296.149865860193,1.04278121781758,140,144,0.972222222222222,10.0739436619718,4.34934184659951,8.17605633802817,5.33247838582874,296.149865860193,132,"AM"
"4",3,-0.3,10,20,"variable",FALSE,1,20,1,2,91,1.67032967032967,1.93455433455433,76,82.0337005400029,0.901469236703329,35,56,0.625,9.92307692307692,4.89723452398453,8.57142857142857,5.60781767246574,82.0337005400029,74,"AM"
"5",4,-0.3,10,20,"variable",FALSE,1,20,1,2,76,2,2.45333333333333,76,67.3652694610778,0.886385124487866,38,38,1,9.53947368421053,3.9376500249893,9.01315789473684,5.56774860795668,67.3652694610778,65,"AM"
"6",5,-0.3,10,20,"variable",FALSE,1,20,1,2,76,1.34210526315789,1.53473684210526,51,67.3112991289126,0.885674988538324,36,40,0.9,9.81578947368421,4.61218827691958,9.44736842105263,4.91364016276353,67.3112991289126,53,"AM"
"7",6,-0.3,10,20,"variable",FALSE,1,20,1,2,51,NA,NA,NA,NA,NA,26,25,1.04,9.33333333333333,4.74833304083303,9.80392156862745,5.21543711626605,NA,NA,"AM"
"8",0,-0.3,10,20,"variable",FALSE,10,20,1,2,500,2.26,2.13266533066132,565,511.876342070611,1.02375268414122,250,250,1,10.276,3.15463586724519,6.358,3.97157182555359,511.876342070611,449,"AM"
"9",1,-0.3,10,20,"variable",FALSE,10,20,1,2,565,0.56283185840708,0.523084164940689,159,642.001149773588,1.13628522083821,285,280,1.01785714285714,10.1858407079646,3.73252113893481,7.17345132743363,4.58276948883384,642.001149773588,252,"AM"
"10",2,-0.3,10,20,"variable",FALSE,10,20,1,2,159,2.05031446540881,2.21264230554892,163,152.149346703356,0.956914130209788,86,73,1.17808219178082,10.1509433962264,4.03809185299585,7.74842767295597,4.70653807768488,152.149346703356,133,"AM"
"11",3,-0.3,10,20,"variable",FALSE,10,20,1,2,163,1.76687116564417,1.82185866848444,144,159.066286254889,0.975866786839812,88,75,1.17333333333333,10.7300613496933,4.3034028305678,7.98773006134969,4.62813154585041,159.066286254889,138,"AM"
"12",4,-0.3,10,20,"variable",FALSE,10,20,1,2,144,2.16666666666667,1.88811188811189,156,152.10223023798,1.05626548776375,72,72,1,11.2083333333333,4.04152398037128,7.76388888888889,5.38059984582153,152.10223023798,132,"AM"
"13",5,-0.3,10,20,"variable",FALSE,10,20,1,2,156,1.96153846153846,2.17915632754342,153,146.684101916391,0.940282704592248,72,84,0.857142857142857,11.1666666666667,4.18728233265125,8.87820512820513,5.00108755748697,146.684101916391,132,"AM"
"14",6,-0.3,10,20,"variable",FALSE,10,20,1,2,153,2.2483660130719,2.20106639146887,172,153.547162958255,1.00357622848533,73,80,0.9125,11.4771241830065,3.89683570571969,8.01307189542484,5.13500234216184,153.547162958255,136,"AM"
"15",7,-0.3,10,20,"variable",FALSE,10,20,1,2,172,1.24418604651163,1.08622331021352,107,189.755810150279,1.10323145436208,79,93,0.849462365591398,11.6453488372093,4.24082517008365,8.8546511627907,4.84699598236264,189.755810150279,130,"AM"
"16",8,-0.3,10,20,"variable",FALSE,10,20,1,2,107,1.21495327102804,1.09486862987127,65,114.683587070523,1.07180922495816,54,53,1.0188679245283,11.0560747663551,4.31284123769089,9.04672897196262,5.08676265357205,114.683587070523,78,"AM"
"17",9,-0.3,10,20,"variable",FALSE,10,20,1,2,65,1.84615384615385,1.44471153846154,60,72.4501568169239,1.11461779718345,30,35,0.857142857142857,11.2615384615385,3.71347597893858,9.61538461538461,4.37211443301575,72.4501568169239,60,"AM"
"18",10,-0.3,10,20,"variable",FALSE,10,20,1,2,60,NA,NA,NA,NA,NA,36,24,1.5,11.1166666666667,4.59215125048649,9.05,5.7590753730562,NA,NA,"AM"
"19",0,-0.3,10,20,"variable",FALSE,100,20,1,2,500,1.244,1.27501402805611,311,488.600289057537,0.977200578115075,250,250,1,10.06,3.16360819850805,6.384,3.90987445277632,488.600289057537,364,"AM"
